block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019829,204093,16906,11945,7305166848
24019830,197902,18834,12457,7308541952
24019831,398355,28626,12278,7316733952
24019832,22482,462,11033,7317405696
24019833,74980,5292,12223,7318798336
24019834,374339,26592,13901,7326351360
24019835,908727,38943,10588,7346536448
24019836,515997,30449,14375,7357726720
24019837,1016130,55239,14800,7378731008
24019838,203626,6757,12622,7384825856
24019839,1131174,58170,15159,7408762880
24019840,97494,1695,11549,7411105792
24019841,496122,34519,14340,7421116416
24019842,677605,41673,14550,7434387456
24019843,717508,32837,14292,7449722880
24019844,389753,36058,15700,7458340864
24019845,551523,31358,14866,7468548096
24019846,478484,28914,13490,7477886976
24019847,456549,33772,12760,7488045056
24019848,401125,26210,13862,7496368128
24019849,325260,23343,14620,7502561280
24019850,517363,25906,12349,7512326144
24019851,233391,19114,13666,7517503488
24019852,698241,41292,13893,7531413504
24019853,344443,27330,14053,7539310592
24019854,526326,24791,14582,7549616128
24019855,640910,37957,14714,7564050432
24019856,310038,21721,12762,7570554880
24019857,511785,30559,12609,7581122560
24019858,406528,27735,13316,7590166528
24019859,582812,37360,14022,7601504256
24019860,230459,14540,13702,7606288384
24019861,504586,34066,14025,7618199552
24019862,420761,22100,12938,7627669504
24019863,340287,12848,13876,7635894272
24019864,713931,39706,12346,7649280000
24019865,466207,35057,13715,7660404736
24019866,394022,24989,13656,7668727808
24019867,418457,28777,14076,7677558784
24019868,161881,8578,12948,7680966656
24019869,677327,36229,14437,7694106624
24019870,38158,2294,11090,7694598144
24019871,256144,17300,13762,7700103168
24019872,630690,30721,13917,7715209216
24019873,773196,35267,13457,7731298304
24019874,396195,26550,13813,7740325888
24019875,406076,26551,13568,7747616768
24019876,92005,3859,11775,7749763072
24019877,889627,51280,15070,7769784320
24019878,431626,19742,12859,7779598336
24019879,301628,19109,12718,7785152512
24019880,100188,5981,12672,7786905600
24019881,708225,32672,14244,7800340480
24019882,451307,26481,12811,7809449984
24019883,692580,40293,14133,7823163392
24019884,315102,18419,14232,7829929984
24019885,80560,4235,12550,7831601152
24019886,847050,39928,14058,7847575552
24019887,471632,28137,14658,7858208768
24019888,408524,22731,11779,7865712640
24019889,304577,21526,14394,7871807488
24019890,646011,30906,14612,7885651968
24019891,120207,7042,12603,7887945728
24019892,867498,59614,17234,7908573184
24019893,284514,16399,13594,7915372544
24019894,631111,34755,10785,7928840192
24019895,504373,32929,14618,7939620864
24019896,277671,18246,13637,7945273344
24019897,123677,5949,12802,7948468224
24019898,762696,43383,14051,7963262976
24019899,364121,26025,15337,7971094528
24019900,372894,15209,13234,7977828352
24019901,534944,37759,13758,7990181888
24019902,291176,17389,13680,7996817408
24019903,480836,27892,12613,8006320128
24019904,426801,23294,14277,8016265216
