block_number,cache_size_bytes
24019747,3384536
24019748,3350021
24019749,3289236
24019750,2996479
24019751,4236941
24019752,3414247
24019753,2897995
24019754,4437882
24019755,1626319
24019756,904278
24019757,5493220
24019758,5124179
24019759,3344989
24019760,3848329
24019761,3743957
24019762,4632304
24019763,3143960
24019764,4084609
24019765,3916811
24019766,4010671
24019767,4189744
24019768,4223988
24019769,2953935
24019770,3431151
24019771,4330932
24019772,2223672
24019773,804687
24019774,4560033
24019775,3756422
24019776,4023137
24019777,3413392
24019778,3405491
24019779,4142929
24019780,3213719
24019781,4147856
24019782,4613639
24019783,5125532
24019784,3734632
24019785,3325139
24019786,3286504
24019787,5092649
24019788,7454615
24019789,3652781
24019790,5911312
24019791,3650895
24019792,2755107
24019793,3448359
24019794,3625249
24019795,2823893
24019796,2478584
24019797,3996465
24019798,3434942
24019799,2430042
24019800,3027428
24019801,2734021
24019802,3738787
24019803,884018
24019804,6067831
24019805,2579273
24019806,1588787
24019807,3405665
24019808,7219669
24019809,3709487
24019810,5923499
24019811,5751043
24019812,6931758
24019813,3449159
24019814,4750816
24019815,4183617
24019816,3962858
24019817,5151290
24019818,676672
24019819,5832465
24019820,780333
24019821,3297945
24019822,7015902
24019823,4995323
24019824,3920398
24019825,5033797
24019826,6899556
24019827,5729586
24019828,7031948
24019829,3897830
24019830,4331963
24019831,5978537
24019832,227113
24019833,1277223
24019834,3699641
24019835,5550925
24019836,4949347
24019837,8080007
24019838,844752
24019839,7561406
24019840,492047
24019841,5035090
24019842,5614309
24019843,5636414
24019844,4623698
24019845,4993583
24019846,4890986
24019847,3002418
24019848,3886010
24019849,2734619
24019850,3760611
24019851,2816262
24019852,5153091
24019853,4594560
24019854,4554158
24019855,4550569
24019856,2507865
24019857,5010508
24019858,3007122
24019859,5419534
24019860,3219312
24019861,4834439
24019862,3120672
24019863,976140
24019864,6430680
24019865,5133899
24019866,2781012
24019867,3568034
24019868,1128385
24019869,4434742
24019870,858728
24019871,1821404
24019872,4206961
24019873,5569902
24019874,4014662
24019875,4234149
24019876,840994
24019877,5179106
24019878,3741672
24019879,2884069
24019880,938941
24019881,5594683
24019882,4000795
24019883,5153173
24019884,2564973
24019885,651878
24019886,5547666
24019887,3323620
24019888,3656369
24019889,2934474
24019890,4221733
24019891,1546470
24019892,5258375
24019893,2789956
24019894,4650517
24019895,4144222
24019896,3138808
24019897,858625
24019898,6593042
24019899,3346655
24019900,3927863
24019901,4222745
24019902,2571411
24019903,4114054
24019904,2892379
24019905,583522
24019906,3602803
24019907,3970098
24019908,2555700
24019909,3945893
24019910,3527181
24019911,2246452
24019912,2662900
24019913,2848875
24019914,2538319
24019915,2548397
24019916,3465564
24019917,5393475
24019918,3427905
24019919,3120569
24019920,2753223
24019921,2811200
24019922,2703770
24019923,2528665
24019924,2873096
24019925,3405774
24019926,4264725
24019927,4385195
24019928,4027868
24019929,4159266
24019930,3466529
24019931,3492903
24019932,3154603
24019933,6023499
24019934,4413252
24019935,5267794
24019936,3948990
24019937,5950654
24019938,1755296
24019939,4539557
24019940,4981389
24019941,5140522
24019942,2303561
24019943,5318146
24019944,4360942
24019945,4319167
24019946,2742335
24019947,4544759
24019948,2587414
24019949,3255697
24019950,3244447
24019951,3610523
24019952,3773130
24019953,5412969
24019954,4344084
24019955,3448757
24019956,1596590
24019957,4751468
24019958,5244177
24019959,2630930
24019960,6693449
24019961,5281901
24019962,6298544
24019963,4420389
24019964,2898632
24019965,6394509
24019966,1242751
24019967,4588875
24019968,6518239
24019969,3198524
24019970,1727326
24019971,6718694
24019972,7715500
24019973,7670403
24019974,6044140
24019975,4752836
24019976,4734290
24019977,3011609
24019978,4122084
24019979,2209897
24019980,2665362
24019981,1870835
24019982,4772823
24019983,3347591
24019984,4613008
24019985,2480769
24019986,3308924
24019987,2604980
24019988,4094890
24019989,3454920
24019990,3004530
24019991,2034428
24019992,1096146
24019993,4704833
24019994,3339660
24019995,3447720
24019996,977646
24019997,2725913
24019998,2922276
24019999,5003563
24020000,2769633
24020001,2998799
24020002,4300707
24020003,4775230
24020004,3597346
24020005,3700022
24020006,2647896
24020007,3733060
24020008,2816730
24020009,3344715
24020010,3703961
24020011,4063418
24020012,3618508
24020013,2588720
24020014,4085540
24020015,4508358
24020016,6102484
24020017,3960165
24020018,4916410
24020019,2389133
24020020,4572476
24020021,3954207
24020022,3393656
24020023,3526642
24020024,4751644
24020025,2495052
24020026,2222443
24020027,1476292
24020028,1900488
24020029,6562455
24020030,3612443
24020031,2856476
24020032,4297904
24020033,3526107
24020034,3999582
24020035,2863817
24020036,2251531
24020037,3758975
24020038,4199336
24020039,3055818
24020040,2279719
24020041,2870639
24020042,3138344
24020043,1010254
24020044,1069716
24020045,5721553
24020046,3088351
24020047,2563462
24020048,1307897
24020049,4783206
24020050,7184172
24020051,2697459
24020052,4451736
24020053,4539053
24020054,2920932
24020055,2295140
24020056,3129638
24020057,4545748
24020058,3336870
24020059,2794423
24020060,2435273
24020061,4568943
24020062,3651957
24020063,4325516
24020064,2919209
24020065,3935316
24020066,562193
24020067,6003128
24020068,2317272
24020069,3814514
24020070,5359383
24020071,4465493
24020072,3517657
24020073,419404
24020074,2567048
24020075,5744801
24020076,2441308
24020077,3541332
24020078,542511
24020079,5235685
24020080,4719996
24020081,2886560
24020082,320148
24020083,4657452
24020084,2262215
24020085,2660263
24020086,4960048
24020087,4164785
24020088,1661094
24020089,3289322
24020090,3885483
24020091,2497769
24020092,3203577
24020093,2767661
24020094,3445448
24020095,3481824
24020096,2298224
24020097,2075481
24020098,2370131
24020099,2952490
24020100,3959758
24020101,3631245
24020102,3263791
24020103,2923991
24020104,3041611
24020105,2883197
24020106,3369853
24020107,4168317
24020108,3388173
24020109,3741758
24020110,3222549
24020111,2680365
24020112,3614917
24020113,4120626
24020114,2939953
24020115,2483976
24020116,2799983
24020117,2056140
24020118,4105525
24020119,2930657
24020120,3498023
24020121,2069323
24020122,2089206
24020123,889202
24020124,5524136
24020125,3491377
24020126,2476252
24020127,3360026
24020128,2578033
24020129,3203723
24020130,2397876
24020131,2017005
24020132,2602779
24020133,2710026
24020134,3454364
24020135,2731855
