op_type,op_name,value_bytes,count
11,CREATE,1078,1
11,CREATE,1080,2
11,CREATE,1082,1
11,CREATE,1083,1
11,CREATE,1084,1
11,CREATE,1085,95
11,CREATE,1087,1
11,CREATE,1089,1
11,CREATE,1095,2
11,CREATE,1096,1
11,CREATE,1098,2
11,CREATE,1099,1
11,CREATE,1100,1
11,CREATE,1101,2
11,CREATE,1102,1
11,CREATE,1103,2
11,CREATE,1105,1
11,CREATE,1106,2
11,CREATE,1108,3
11,CREATE,1112,1
11,CREATE,1117,1
11,CREATE,1120,5
11,CREATE,1121,2
11,CREATE,1122,9
11,CREATE,1126,3
11,CREATE,1127,1
11,CREATE,1128,2
11,CREATE,1131,2
11,CREATE,1132,2
11,CREATE,1135,1
11,CREATE,1136,1776
11,CREATE,1137,2
11,CREATE,1138,1
11,CREATE,1140,1
11,CREATE,1141,1
11,CREATE,1143,1
11,CREATE,1144,1
11,CREATE,1145,1
11,CREATE,1146,3
11,CREATE,1148,1
11,CREATE,1152,1
11,CREATE,1153,1
11,CREATE,1154,1
11,CREATE,1155,1
11,CREATE,1158,1
11,CREATE,1159,1
11,CREATE,1162,1
11,CREATE,1163,1
11,CREATE,1165,11
11,CREATE,1170,1
11,CREATE,1174,1
11,CREATE,1176,1
11,CREATE,1177,2
11,CREATE,1178,30
11,CREATE,1181,2
11,CREATE,1183,2
11,CREATE,1184,5
11,CREATE,1186,1
11,CREATE,1187,1
11,CREATE,1196,1
11,CREATE,1201,2
11,CREATE,1207,1
11,CREATE,1211,1
11,CREATE,1215,4
11,CREATE,1218,3
11,CREATE,1219,1
11,CREATE,1220,1
11,CREATE,1221,1
11,CREATE,1223,2
11,CREATE,1228,1
11,CREATE,1229,1
11,CREATE,1230,1
11,CREATE,1232,4
11,CREATE,1234,9
11,CREATE,1235,1
11,CREATE,1236,1
11,CREATE,1238,1
11,CREATE,1239,3
11,CREATE,1240,2
11,CREATE,1241,1
11,CREATE,1242,2
11,CREATE,1243,10
11,CREATE,1248,1
11,CREATE,1249,8
11,CREATE,1252,1
11,CREATE,1254,1
11,CREATE,1255,1
11,CREATE,1258,2
11,CREATE,1263,1
11,CREATE,1264,5
11,CREATE,1267,1
11,CREATE,1268,1
11,CREATE,1269,1
11,CREATE,1275,1
11,CREATE,1276,1
11,CREATE,1280,1
11,CREATE,1281,1
11,CREATE,1283,1
11,CREATE,1284,2
11,CREATE,1286,8
11,CREATE,1287,62
11,CREATE,1288,1
11,CREATE,1289,1
11,CREATE,1291,1
11,CREATE,1292,3
11,CREATE,1297,2
11,CREATE,1301,1
11,CREATE,1302,2
11,CREATE,1306,1
11,CREATE,1308,15
11,CREATE,1312,3
11,CREATE,1322,1
11,CREATE,1325,1
11,CREATE,1326,2
11,CREATE,1334,4
11,CREATE,1335,1
11,CREATE,1336,1
11,CREATE,1344,1
11,CREATE,1345,11
11,CREATE,1348,3
11,CREATE,1353,2
11,CREATE,1355,2
11,CREATE,1356,19
11,CREATE,1357,1
11,CREATE,1359,1
