block_number,execution_time_us,rss_bytes
24020115,441300,9304588288
24020116,436349,9314828288
24020117,230703,9320054784
24020118,480926,9331638272
24020119,356473,9339256832
24020120,410918,9349545984
24020121,213938,9354346496
24020122,233847,9359278080
24020123,113131,9361719296
24020124,566993,9374498816
24020125,353651,9382019072
24020126,319773,9390637056
24020127,330081,9398681600
24020128,251203,9403990016
24020129,366841,9412673536
24020130,331471,9420423168
24020131,334882,9429303296
24020132,282457,9435463680
24020133,514423,9449865216
24020134,424445,9459990528
24020135,455338,9471508480
24020136,244315,9476456448
24020137,488142,9488039936
24020138,408045,9498034176
24020139,425544,9508061184
24020140,392549,9516646400
24020141,320173,9524183040
24020142,487396,9535881216
24020143,313277,9543417856
24020144,86141,9545269248
24020145,615619,9560047616
24020146,346937,9567862784
24020147,364880,9576054784
24020148,100443,9578397696
24020149,648727,9593044992
24020150,344863,9601400832
24020151,304976,9608167424
24020152,200346,9612099584
24020153,509665,9623814144
24020154,444783,9635069952
24020155,316116,9643491328
24020156,428052,9651978240
24020157,399027,9661661184
24020158,231299,9666969600
24020159,389107,9676111872
24020160,470329,9688563712
24020161,523979,9702424576
24020162,498334,9713025024
24020163,330169,9720643584
24020164,366447,9728655360
24020165,281596,9734504448
24020166,352076,9743187968
24020167,150684,9746481152
24020168,319027,9754902528
24020169,637390,9769713664
24020170,402265,9779412992
24020171,302249,9787064320
24020172,305861,9794617344
24020173,299938,9801449472
24020174,451437,9812721664
24020175,360053,9820913664
24020176,393701,9829646336
24020177,369039,9838084096
24020178,354543,9846095872
24020179,290631,9852518400
24020180,331257,9860169728
24020181,41825,9860743168
24020182,696434,9878388736
24020183,303988,9885417472
24020184,335108,9892347904
24020185,513139,9903783936
24020186,300082,9910321152
24020187,207914,9914138624
24020188,513018,9927393280
24020189,249210,9932767232
24020190,317421,9940041728
24020191,214817,9945497600
24020192,455176,9956147200
24020193,441494,9966174208
24020194,287476,9972285440
24020195,454240,9983262720
24020196,378338,9993093120
24020197,303609,9999876096
24020198,717933,10020110336
24020199,294822,10026745856
24020200,204342,10031923200
24020201,102083,10034135040
24020202,952315,10059825152
24020203,575169,10072801280
24020204,305299,10080174080
24020205,318827,10087481344
24020206,507315,10100523008
24020207,258920,10106077184
24020208,273563,10111598592
24020209,352610,10119872512
24020210,377134,10130309120
24020211,717592,10146856960
24020212,42723,10147889152
24020213,566898,10160603136
24020214,338874,10168549376
24020215,363410,10177347584
24020216,404061,10185818112
24020217,182396,10189651968
24020218,440861,10199678976
24020219,457383,10210148352
24020220,320148,10216849408
24020221,611815,10234789888
24020222,310429,10240507904
24020223,743828,10260152320
24020224,234795,10265198592
24020225,313352,10272342016
24020226,338467,10280239104
24020227,264211,10286497792
24020228,263365,10292264960
24020229,414741,10302914560
24020230,387076,10312826880
24020231,646137,10329047040
24020232,371809,10338009088
24020233,278918,10344939520
24020234,268871,10351181824
24020235,262335,10357096448
24020236,355155,10365517824
24020237,249040,10370973696
24020238,670195,10388226048
24020239,284376,10394386432
24020240,232478,10399727616
24020241,312058,10406428672
24020242,368186,10416553984
24020243,488313,10428809216
24020244,434343,10439753728
24020245,413144,10449879040
24020246,494210,10462658560
24020247,75598,10464149504
24020248,488680,10476339200
24020249,538044,10488168448
24020250,640521,10506567680
24020251,610493,10520903680
24020252,507158,10533240832
24020253,158173,10535976960
24020254,573629,10549182464
24020255,432959,10560126976
24020256,292790,10566385664
24020257,251373,10572382208
24020258,42360,10573594624
24020259,710665,10590633984
24020260,89449,10591862784
24020261,722826,10609278976
24020262,453368,10619650048
24020263,413296,10629021696
24020264,536603,10641506304
24020265,247492,10646503424
24020266,417027,10656415744
24020267,278041,10662166528
24020268,363044,10669129728
24020269,238067,10675552256
24020270,713476,10690789376
24020271,170255,10694459392
24020272,195070,10698342400
24020273,134943,10700849152
24020274,677643,10714447872
24020275,310270,10721853440
24020276,332733,10728914944
24020277,140611,10731831296
24020278,351773,10739744768
24020279,219565,10745905152
24020280,433110,10754097152
24020281,376800,10762502144
24020282,329254,10770055168
24020283,346049,10778099712
24020284,348282,10785308672
24020285,201023,10789781504
24020286,148739,10792648704
24020287,583811,10806198272
24020288,441129,10816831488
24020289,240394,10821173248
24020290,348062,10832478208
24020291,507303,10845110272
24020292,285792,10851368960
24020293,429481,10860937216
24020294,295177,10866802688
24020295,271807,10872160256
24020296,38741,10872979456
24020297,415085,10882318336
24020298,288778,10887659520
24020299,260615,10892132352
24020300,194517,10894753792
24020301,509131,10906714112
24020302,517813,10919280640
24020303,408124,10929471488
24020304,44431,10930388992
24020305,319656,10937761792
24020306,361112,10945413120
24020307,227157,10949935104
24020308,118605,10951966720
24020309,499115,10962747392
24020310,411842,10972266496
24020311,344629,10980098048
24020312,377857,10993483776
24020313,65195,10995318784
24020314,386438,11002462208
24020315,320901,11009703936
24020316,337169,11016142848
24020317,295202,11024859136
24020318,538322,11037540352
24020319,314191,11044831232
24020320,286096,11051352064
24020321,277742,11056676864
24020322,331166,11062853632
24020323,333770,11070980096
24020324,367508,11079958528
24020325,372280,11087855616
24020326,338422,11096080384
24020327,499290,11108122624
24020328,225011,11113381888
24020329,387095,11122393088
24020330,267631,11127488512
24020331,391147,11136942080
24020332,350974,11145052160
24020333,75107,11146657792
24020334,531259,11158487040
24020335,438373,11167285248
24020336,255526,11171725312
24020337,175494,11175198720
24020338,230177,11180572672
24020339,460909,11190779904
24020340,270640,11196170240
24020341,220690,11201183744
24020342,412017,11209916416
24020343,320245,11217092608
24020344,139385,11219976192
24020345,372170,11228381184
24020346,270034,11234377728
24020347,225661,11239407616
24020348,295727,11245649920
24020349,310632,11250761728
24020350,95923,11253448704
24020351,457730,11263246336
24020352,621012,11278237696
24020353,352097,11284758528
24020354,405417,11294785536
24020355,132963,11297112064
24020356,373219,11304763392
24020357,482066,11314970624
24020358,274731,11320360960
24020359,241808,11325145088
24020360,305884,11332026368
24020361,339915,11338219520
24020362,324897,11344904192
24020363,126165,11348033536
24020364,312343,11355865088
24020365,399546,11364974592
24020366,530706,11377573888
24020367,316215,11384487936
24020368,121204,11387305984
24020369,386106,11394859008
24020370,85313,11395956736
24020371,109225,11398725632
24020372,115689,11401347072
24020373,614273,11415355392
24020374,470234,11425103872
24020375,323524,11432656896
24020376,472502,11442929664
24020377,87665,11445256192
24020378,556163,11459002368
24020379,242962,11464228864
24020380,279684,11470323712
24020381,138561,11472928768
24020382,173694,11477024768
24020383,456082,11487182848
24020384,346609,11495456768
24020385,266550,11502436352
24020386,427736,11512659968
24020387,370616,11520393216
24020388,198281,11524358144
24020389,298714,11531681792
24020390,81675,11533271040
24020391,437491,11543314432
24020392,250639,11549048832
24020393,294079,11555913728
24020394,520600,11570348032
24020395,353409,11578425344
24020396,369245,11586224128
24020397,265602,11591778304
24020398,62017,11593138176
24020399,440205,11601494016
24020400,517929,11612405760
24020401,173319,11615846400
24020402,344884,11624038400
24020403,213715,11628740608
24020404,313715,11635032064
24020405,321309,11642372096
24020406,283640,11648270336
24020407,135920,11650809856
24020408,321518,11656364032
24020409,358251,11663900672
24020410,277145,11669209088
24020411,276916,11673747456
24020412,163264,11677188096
24020413,161113,11679989760
24020414,454112,11689476096
24020415,160084,11693670400
24020416,410632,11701878784
24020417,250686,11707793408
24020418,300051,11713806336
24020419,9622,11713921024
24020420,366795,11721424896
24020421,362131,11728912384
24020422,216973,11732877312
24020423,372187,11741511680
24020424,251570,11746967552
24020425,329575,11754815488
24020426,193809,11758321664
24020427,310187,11763695616
24020428,348356,11770806272
24020429,295751,11777753088
24020430,313936,11781931008
24020431,256060,11789008896
24020432,252236,11793694720
24020433,248024,11798380544
24020434,294345,11803803648
24020435,130156,11806572544
24020436,156784,11809783808
24020437,313590,11813552128
24020438,366200,11824070656
24020439,249275,11829575680
24020440,213391,11834195968
24020441,190072,11837652992
24020442,94653,11839520768
24020443,224836,11844517888
24020444,330300,11850268672
24020445,319584,11855970304
24020446,412803,11864965120
24020447,255841,11870404608
24020448,275301,11876253696
24020449,296707,11882676224
24020450,309878,11889721344
24020451,246633,11894194176
24020452,304857,11900092416
24020453,225338,11904532480
24020454,283388,11910135808
24020455,325251,11916394496
24020456,259141,11921342464
24020457,325225,11925651456
24020458,266266,11932942336
24020459,162020,11936137216
24020460,367414,11943526400
24020461,107825,11945885696
24020462,309472,11950260224
24020463,287882,11957698560
24020464,236190,11962662912
24020465,235754,11969183744
24020466,303233,11975409664
24020467,279142,11981864960
24020468,214004,11985682432
24020469,348280,11993825280
24020470,312894,12001099776
24020471,340420,12007194624
24020472,257265,12014108672
24020473,242980,12019924992
24020474,251687,12023087104
24020475,161209,12027592704
24020476,205334,12033523712
24020477,189593,12037685248
24020478,294990,12044075008
24020479,263230,12049121280
24020480,236456,12053905408
24020481,262346,12059623424
24020482,244806,12064063488
24020483,215958,12068159488
24020484,363721,12074319872
24020485,254461,12080873472
24020486,115413,12083216384
24020487,340785,12088918016
24020488,261803,12095406080
24020489,228569,12100665344
24020490,198425,12105252864
24020491,246061,12110036992
24020492,270549,12115853312
24020493,200245,12119719936
24020494,344273,12126797824
24020495,256512,12131942400
24020496,148301,12134760448
24020497,162862,12138545152
24020498,485949,12149407744
24020499,267424,12152700928
24020500,219176,12158894080
24020501,291761,12166447104
24020502,225080,12170543104
24020503,92349,12172476416
24020504,320183,12179832832
24020505,156577,12182503424
24020506,179305,12186681344
24020507,33798,12187533312
24020508,390820,12195364864
24020509,308817,12200083456
24020510,629387,12215353344
24020511,230981,12221022208
24020512,295666,12227051520
24020513,196920,12230836224
24020514,224757,12234850304
24020515,243463,12240814080
24020516,280574,12247105536
24020517,193970,12250906624
24020518,149068,12253609984
24020519,501014,12267716608
24020520,136395,12270338048
24020521,389847,12277858304
24020522,201365,12282380288
24020523,318473,12289933312
24020524,299695,12295585792
24020525,246190,12300828672
24020526,263432,12303630336
24020527,232400,12310577152
24020528,211402,12315377664
24020529,301073,12319784960
24020530,184309,12324503552
24020531,417502,12335382528
24020532,181455,12338905088
24020533,232912,12344360960
24020534,285595,12347998208
24020535,201319,12353601536
24020536,57139,12355272704
24020537,364931,12363988992
24020538,325309,12368986112
24020539,206194,12373884928
24020540,193108,12378259456
24020541,284101,12384288768
24020542,289158,12386844672
24020543,4254,12386942976
24020544,356965,12397133824
24020545,257735,12402589696
24020546,201998,12406996992
24020547,321111,12410322944
24020548,409094,12421513216
24020549,356931,12428902400
24020550,37478,12429590528
24020551,372199,12437766144
24020552,310191,12444041216
24020553,329961,12452102144
24020554,208991,12456460288
24020555,389697,12465586176
24020556,394203,12472467456
24020557,279819,12479807488
24020558,287649,12485672960
24020559,190510,12489736192
24020560,308093,12496633856
24020561,281492,12500582400
24020562,221316,12506906624
24020563,211454,12511920128
24020564,336532,12516802560
24020565,205346,12522373120
24020566,245443,12528566272
24020567,563837,12540428288
24020568,116364,12542476288
24020569,222234,12546981888
24020570,204190,12551700480
24020571,93722,12553699328
24020572,425150,12563087360
24020573,54933,12564201472
24020574,533536,12573130752
24020575,229293,12575588352
24020576,193614,12580896768
24020577,261292,12588433408
24020578,258194,12593840128
24020579,194739,12598525952
24020580,186629,12600573952
24020581,123256,12604309504
24020582,164034,12608421888
24020583,524380,12619825152
24020584,316077,12625985536
24020585,221221,12630638592
24020586,320591,12637634560
24020587,308185,12643123200
24020588,199757,12647186432
24020589,159504,12650381312
24020590,238650,12654985216
24020591,418268,12664471552
24020592,204610,12668354560
24020593,303727,12676022272
24020594,228967,12679856128
24020595,12895,12680347648
24020596,567197,12694044672
24020597,357188,12700975104
24020598,407912,12708806656
24020599,233726,12713230336
24020600,298299,12719751168
24020601,334098,12726878208
24020602,193758,12730302464
24020603,72191,12731613184
24020604,229580,12735922176
