block_number,raw_size_bytes,compressed_size_bytes,file_size_bytes
24020082,14462,7223,7251
24020083,146017,67087,67115
24020084,68938,32070,32098
24020085,84367,39072,39100
24020086,240909,108460,108488
24020087,229793,123824,123852
24020088,59011,29539,29567
24020089,102528,45115,45143
24020090,152235,72197,72225
24020091,90608,39964,39992
24020092,105299,51427,51455
24020093,105949,51621,51649
24020094,138151,63076,63104
24020095,137639,64926,64954
24020096,85488,38256,38284
24020097,120544,68682,68710
24020098,85250,41557,41585
24020099,92639,41866,41894
24020100,180087,82207,82235
24020101,159951,77980,78008
24020102,139744,61802,61830
24020103,99084,47908,47936
24020104,137054,72414,72442
24020105,100306,46905,46933
24020106,172675,78643,78671
24020107,138529,67024,67052
24020108,173262,79432,79460
24020109,150682,72794,72822
24020110,96746,42661,42689
24020111,84699,33708,33736
24020112,115628,58910,58938
24020113,196968,93764,93792
24020114,115911,54451,54479
24020115,92649,47858,47886
24020116,99372,50238,50266
24020117,72738,36678,36706
24020118,167799,80111,80139
24020119,94030,43605,43633
24020120,106949,51901,51929
24020121,62304,28470,28498
24020122,80140,34989,35017
24020123,36287,18373,18401
24020124,212666,88912,88940
24020125,155532,76245,76273
24020126,96873,47358,47386
24020127,105572,49071,49099
24020128,88775,38001,38029
24020129,115180,54927,54955
24020130,105168,53094,53122
24020131,79271,39415,39443
24020132,93242,44154,44182
24020133,105343,49258,49286
24020134,128056,62084,62112
24020135,132908,61038,61066
24020136,99264,46521,46549
24020137,173992,95036,95064
24020138,108179,46934,46962
24020139,107022,51046,51074
24020140,139362,67791,67819
24020141,101541,48937,48965
24020142,120751,60688,60716
24020143,95877,44698,44726
24020144,21914,11320,11348
24020145,257788,127638,127666
24020146,97570,49663,49691
24020147,110908,56775,56803
24020148,31467,16429,16457
24020149,157668,82258,82286
24020150,128077,56964,56992
24020151,96018,44246,44274
24020152,87546,42449,42477
24020153,163531,69767,69795
24020154,97097,45956,45984
24020155,73379,35969,35997
24020156,141274,66016,66044
24020157,133968,59461,59489
24020158,67221,32338,32366
24020159,122141,57406,57434
24020160,124905,60333,60361
24020161,123931,58836,58864
24020162,149894,74749,74777
24020163,75763,40168,40196
24020164,136299,64424,64452
24020165,122915,62605,62633
24020166,110561,51565,51593
24020167,34565,19372,19400
24020168,58842,32939,32967
24020169,202610,93502,93530
24020170,109683,58592,58620
24020171,139875,75149,75177
24020172,106337,52245,52273
24020173,90862,42429,42457
24020174,172871,72201,72229
24020175,143559,79494,79522
24020176,121880,58967,58995
24020177,141975,67151,67179
24020178,137589,59819,59847
24020179,126226,64311,64339
24020180,95215,45940,45968
24020181,59671,20346,20374
24020182,213506,102938,102966
24020183,84061,37995,38023
24020184,113801,55898,55926
24020185,153606,77078,77106
24020186,131715,62521,62549
24020187,83562,37157,37185
24020188,167202,69963,69991
24020189,68351,35655,35683
24020190,99835,50135,50163
24020191,37224,21013,21041
24020192,129485,62994,63022
24020193,143336,70901,70929
24020194,96494,46069,46097
24020195,137126,61501,61529
24020196,95303,46908,46936
24020197,114540,51765,51793
24020198,184153,85829,85857
24020199,111395,57098,57126
24020200,47163,26011,26039
24020201,28653,14185,14213
24020202,254767,109709,109737
24020203,205596,97425,97453
24020204,160865,84074,84102
24020205,128766,59861,59889
24020206,114060,59737,59765
24020207,80938,42500,42528
24020208,104905,48373,48401
24020209,187299,98744,98772
24020210,81673,39503,39531
24020211,186930,92647,92675
24020212,15873,8223,8251
24020213,154561,81353,81381
24020214,112064,54157,54185
24020215,106984,52712,52740
24020216,158921,71682,71710
24020217,56173,27511,27539
24020218,137422,64199,64227
24020219,158474,81996,82024
24020220,91486,44543,44571
24020221,54672,26270,26298
24020222,98436,49384,49412
24020223,147483,73379,73407
24020224,71336,32373,32401
24020225,116027,52269,52297
24020226,139701,66543,66571
24020227,69499,31762,31790
24020228,82779,38072,38100
24020229,168357,76491,76519
24020230,91139,45322,45350
24020231,224737,98213,98241
24020232,145348,63586,63614
24020233,85267,41571,41599
24020234,84288,42323,42351
24020235,115205,54203,54231
24020236,98415,47480,47508
24020237,83380,40593,40621
24020238,158682,76385,76413
24020239,101037,49251,49279
24020240,70726,34223,34251
24020241,161615,64368,64396
24020242,87107,40842,40870
24020243,148995,65807,65835
24020244,124722,53089,53117
24020245,114125,52891,52919
24020246,129417,58176,58204
24020247,23549,11847,11875
24020248,125855,59522,59550
24020249,171804,77582,77610
24020250,138503,42941,42969
24020251,226975,104405,104433
24020252,137518,61657,61685
24020253,73426,31892,31920
24020254,191659,83961,83989
24020255,120340,55443,55471
24020256,125990,53249,53277
24020257,101954,44127,44155
24020258,3623,2263,2291
24020259,363090,179236,179264
24020260,34819,15689,15717
24020261,245389,118041,118069
24020262,107390,52544,52572
24020263,178604,95344,95372
24020264,116338,58257,58285
24020265,96006,49834,49862
24020266,114667,55949,55977
24020267,92846,44169,44197
24020268,111055,56468,56496
24020269,48183,26326,26354
24020270,225246,110674,110702
24020271,78715,35349,35377
24020272,149437,85913,85941
24020273,57728,26798,26826
24020274,204676,104385,104413
24020275,99056,48103,48131
24020276,105587,57720,57748
24020277,47953,22282,22310
24020278,100420,49760,49788
24020279,43881,20614,20642
24020280,191464,95468,95496
24020281,112320,55124,55152
24020282,126681,55890,55918
24020283,120416,50446,50474
24020284,122406,57105,57133
24020285,99820,42576,42604
24020286,136786,63390,63418
24020287,159880,75439,75467
24020288,118785,55114,55142
24020289,90067,41824,41852
24020290,132495,73932,73960
24020291,154012,75852,75880
24020292,86837,42161,42189
24020293,121179,62400,62428
24020294,106341,53993,54021
24020295,117020,54769,54797
24020296,29057,11611,11639
24020297,261158,141115,141143
24020298,130412,57699,57727
24020299,117273,59063,59091
24020300,117503,48520,48548
24020301,232385,119161,119189
24020302,153406,74026,74054
24020303,138502,70226,70254
24020304,15989,8100,8128
24020305,103463,47636,47664
24020306,111844,59095,59123
24020307,164683,89958,89986
24020308,89377,36986,37014
24020309,199569,94768,94796
24020310,168879,75987,76015
24020311,151105,68317,68345
24020312,93930,45042,45070
24020313,14636,8269,8297
24020314,189762,85999,86027
24020315,153802,64638,64666
24020316,143917,60650,60678
24020317,47228,27258,27286
24020318,179326,84574,84602
24020319,107087,51805,51833
24020320,82642,43846,43874
24020321,100406,48137,48165
24020322,116303,61205,61233
24020323,123416,58867,58895
24020324,127808,65348,65376
24020325,122783,63178,63206
24020326,139034,77666,77694
24020327,143983,75728,75756
24020328,77023,35705,35733
24020329,133909,65390,65418
24020330,84753,42836,42864
24020331,97758,47012,47040
24020332,110386,49031,49059
24020333,20177,9816,9844
24020334,357912,198277,198305
24020335,167893,77893,77921
24020336,129158,54312,54340
24020337,106408,44846,44874
24020338,148397,61529,61557
24020339,152406,69385,69413
24020340,129431,54055,54083
24020341,143669,61193,61221
24020342,169566,70859,70887
24020343,132115,56763,56791
24020344,64570,29139,29167
24020345,135442,66836,66864
24020346,108291,48665,48693
24020347,90275,41060,41088
24020348,107833,51701,51729
24020349,122407,54343,54371
24020350,24274,12507,12535
24020351,142710,67968,67996
24020352,205427,98447,98475
24020353,153836,68077,68105
24020354,132271,65157,65185
24020355,44343,20273,20301
24020356,175287,76922,76950
24020357,199517,87950,87978
24020358,159446,80908,80936
24020359,103367,49505,49533
24020360,87694,45338,45366
24020361,122455,57685,57713
24020362,141253,61891,61919
24020363,82582,35982,36010
24020364,87972,42305,42333
24020365,115056,55756,55784
24020366,157243,72096,72124
24020367,96183,44263,44291
24020368,35727,19809,19837
24020369,216931,89182,89210
24020370,91119,33930,33958
24020371,44444,20977,21005
24020372,57022,25937,25965
24020373,247706,104557,104585
24020374,226741,118008,118036
24020375,120942,55488,55516
24020376,155649,71703,71731
24020377,22770,9494,9522
24020378,189149,90638,90666
24020379,104833,47641,47669
24020380,109564,51771,51799
24020381,47269,23419,23447
24020382,29991,16643,16671
24020383,195380,102050,102078
24020384,135581,62217,62245
24020385,100950,39560,39588
24020386,119170,50951,50979
24020387,153867,70798,70826
24020388,134466,51863,51891
24020389,114640,53357,53385
24020390,39672,17477,17505
24020391,148172,67195,67223
24020392,91200,39757,39785
24020393,103223,38811,38839
24020394,199672,73412,73440
24020395,103091,49710,49738
24020396,117807,53242,53270
24020397,128826,51943,51971
24020398,52905,20860,20888
24020399,184729,80053,80081
24020400,162804,76862,76890
24020401,137261,69206,69234
24020402,128289,59628,59656
24020403,87234,37065,37093
24020404,118790,59002,59030
24020405,108442,50613,50641
24020406,79652,36553,36581
24020407,68410,30310,30338
24020408,149433,61577,61605
24020409,145548,68054,68082
24020410,131736,57518,57546
24020411,313592,171102,171130
24020412,73457,33416,33444
24020413,100891,41815,41843
24020414,151754,65892,65920
24020415,80140,41576,41604
24020416,131421,62361,62389
24020417,83020,37419,37447
24020418,145500,63452,63480
24020419,36864,13039,13067
24020420,133203,61858,61886
24020421,161006,75496,75524
24020422,91343,40268,40296
24020423,173688,76865,76893
24020424,104954,49331,49359
24020425,133266,62328,62356
24020426,84996,40560,40588
24020427,123889,60398,60426
24020428,123093,55105,55133
24020429,86962,42185,42213
24020430,103333,43668,43696
24020431,126663,57902,57930
24020432,87843,41752,41780
24020433,96901,44507,44535
24020434,153078,80745,80773
24020435,50929,23113,23141
24020436,61139,26943,26971
24020437,111081,44183,44211
24020438,200528,98253,98281
24020439,87807,42050,42078
24020440,115039,52042,52070
24020441,105458,43544,43572
24020442,81618,32350,32378
24020443,55503,30484,30512
24020444,132438,62074,62102
24020445,209956,103627,103655
24020446,133702,62713,62741
24020447,107789,50082,50110
24020448,105309,48080,48108
24020449,113978,52100,52128
24020450,79446,40659,40687
24020451,113096,49707,49735
24020452,138321,61495,61523
24020453,109511,46845,46873
24020454,123127,51401,51429
24020455,118888,54278,54306
24020456,83611,38299,38327
24020457,77212,33783,33811
24020458,113783,54313,54341
24020459,53212,25770,25798
24020460,115107,55809,55837
24020461,29855,15361,15389
24020462,104607,45922,45950
24020463,94869,48033,48061
24020464,148280,78481,78509
24020465,71212,30099,30127
24020466,108357,50846,50874
24020467,78850,37133,37161
24020468,80819,39131,39159
24020469,120278,56480,56508
24020470,108749,52566,52594
24020471,121876,67868,67896
24020472,80165,38224,38252
24020473,77609,37221,37249
24020474,108183,43370,43398
24020475,172222,77296,77324
24020476,87408,43208,43236
24020477,76034,35948,35976
24020478,106500,49885,49913
24020479,93651,44524,44552
24020480,109067,49231,49259
24020481,91160,39789,39817
